SeedPlayer,SeedRoom,UseCountFire,UseCountBeam,UseCountWave,HitCountFire,HitCountBeam,HitCountWave,HitsTaken,EnemyCountFire,EnemyCountBeam,EnemyCountWave,ObstacleCountFire,ObstacleCountBeam,ObstacleCountWave,EnemyAttackCount,GroundTruth,Classification
0,0,151,184,414,51,47,310,0,1,3,0,5,1,2,8,1,1
0,0,151,190,461,51,48,347,1,1,2,1,5,1,2,8,1,1
0,0,151,195,476,51,51,360,0,1,0,3,0,2,6,3,1,1
0,0,151,233,494,51,63,367,1,3,0,1,2,6,0,4,1,1
0,0,151,236,554,51,63,419,0,0,4,0,0,2,6,10,1,1
0,0,151,239,627,51,64,477,3,1,2,1,8,0,0,4,1,1
0,0,151,248,651,51,72,495,0,2,1,1,0,6,2,4,1,1
0,0,191,285,651,60,83,495,1,2,1,1,7,1,0,9,1,1
0,0,233,285,651,74,83,495,1,0,4,0,1,0,7,5,1,1
0,0,263,285,651,87,83,495,0,0,3,1,2,0,6,6,1,1
0,0,316,307,651,105,90,495,2,1,1,3,4,5,1,10,1,1
0,0,357,307,651,120,90,495,1,0,5,0,6,4,0,9,1,1
0,0,432,321,651,154,97,495,2,0,2,3,0,10,0,13,1,1
0,0,472,338,651,167,108,495,0,3,1,1,4,4,2,9,1,1
0,0,523,338,651,188,108,495,2,0,1,4,8,2,0,12,1,1
0,0,541,390,651,202,120,495,2,3,2,0,0,3,7,9,1,1
0,0,541,390,704,202,120,538,0,0,3,2,1,5,4,9,1,1
0,0,541,390,759,202,120,583,0,0,5,0,1,4,5,10,1,1
0,0,541,390,808,202,120,629,0,0,4,1,6,1,3,8,1,1
0,0,541,395,840,202,123,652,0,3,2,0,8,2,0,6,1,1
0,0,541,406,887,202,128,683,0,2,2,1,0,9,1,10,1,1
0,0,541,413,931,202,131,722,1,1,3,1,5,4,1,8,1,1
0,0,541,430,972,202,146,758,3,4,1,0,1,7,2,5,1,1
0,0,541,473,995,202,168,776,3,5,0,0,3,2,5,5,1,1
0,0,541,491,1070,202,171,830,4,1,1,3,6,4,0,9,1,1
0,0,541,491,1116,202,171,857,0,0,0,5,6,0,4,7,0,1
0,0,541,491,1188,202,171,909,1,0,3,2,5,3,2,13,1,1
0,0,541,552,1197,202,187,916,1,4,0,1,0,1,9,8,1,1
0,0,541,608,1215,202,203,930,0,4,1,0,7,2,1,6,1,1
0,0,541,663,1237,202,219,945,0,4,1,0,4,2,4,7,1,1
0,0,13,0,0,3,0,0,0,0,1,0,2,1,0,1,1,1
0,0,13,9,0,3,4,0,0,1,0,0,1,2,0,0,1,1
0,0,13,21,19,3,8,13,0,1,1,0,1,2,1,1,1,1
0,0,13,21,47,3,8,39,0,0,2,0,0,2,2,2,1,1
0,0,47,21,47,13,8,39,2,0,0,2,2,2,0,4,1,1
0,0,47,21,71,13,8,58,0,0,1,1,2,1,1,1,1,1
0,0,47,21,94,13,8,75,0,0,1,1,2,2,0,2,1,1
0,0,67,21,134,21,8,94,1,2,1,0,0,3,2,5,1,1
0,0,88,28,134,32,10,94,0,1,2,0,1,0,4,3,1,1
0,0,99,53,134,36,18,94,0,2,1,0,2,3,0,2,1,1
0,0,120,63,134,47,21,94,0,1,2,0,2,0,4,5,1,1
0,0,124,127,134,47,45,94,2,1,0,2,2,4,0,5,0,1
0,0,124,132,180,47,45,133,0,0,3,0,0,3,3,7,0,1
0,0,124,139,200,47,52,144,0,1,0,2,0,6,0,3,1,1
0,0,124,139,237,47,52,167,0,0,1,2,2,3,1,5,1,1
0,0,124,139,267,47,52,192,0,0,1,2,1,2,3,4,1,1
0,0,141,139,282,56,52,199,0,0,2,1,2,3,1,4,1,1
0,0,166,139,286,67,52,200,0,0,3,0,1,2,3,4,1,1
0,0,187,139,323,75,52,221,0,2,2,0,0,2,6,7,0,1
0,0,219,139,323,94,52,221,0,0,4,0,2,6,0,7,1,1
0,0,241,174,323,109,60,221,1,2,2,0,7,1,0,6,1,1
0,0,268,198,323,124,67,221,2,1,1,2,3,0,5,5,0,1
0,0,268,207,353,124,70,244,0,1,1,2,3,5,0,4,1,1
0,0,268,207,404,124,70,271,1,0,2,2,0,4,4,6,1,1
0,0,268,252,439,124,78,297,1,2,2,0,2,5,1,6,0,1
0,0,268,272,490,124,81,333,0,1,3,0,1,3,4,8,0,1
